"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Senegal","SEN","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Senegal","SEN","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","","76","233","","299","","319","242","","47","33","","39","","","","","","","","25","","","","","","","","","","","","","",
"Senegal","SEN","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","","49.2537307739258","","54.7263679504395","","59.7014923095703","56.7164192199707","56.25","53.3653831481934","48.5576934814453","40.8653831481934","40.8653831481934","38.8625602722168","37.4407577514648","40.3755874633789","49.2957763671875","51.6431922912598","58.1280784606934","57.6354675292969","57.6354675292969","57.1428565979004","54.8543701171875","54.1062812805176","55.0724639892578","54.5893707275391","54.5893707275391","51.9607849121094","",
"Senegal","SEN","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","18.534278959811","32.1605667060212","29.4252357431523","27.1107544141254","30.1445466491459","32.1036769138035","33.6019777503091","23.6066343295258","25.6907701352146","21.6480630334866","21.0904255319148","17.867932671558","20.5227963525836","23.2672817637975","19.8498243914255","19.7744014732964","19.148716891683","19.1558053330144","17.8720053987178","18.6601608861929","13.5157159487777","15.4485415520088","23.2031439161125","16.7707534421679","13.9739021794457","11.0839215831398","9.72911625516605","8.47446891058377","9.69226088440676","15.740065557058","16.3366050437441","18.788815512154","15.9191374663072","12.4304729755648","12.2625644945538","5.28311603192811","4.93379911157116","9.69034750531802","11.670995259321","12.3246838178767","12.905442763146","12.1049335958208","12.2533907498552","12.2047819771772","13.3037003071419","15.0666719603897","17.4636140499322","18.0728959732712","15.8217756111594","16.0905821636063","",
"Senegal","SEN","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","37.4704491725765","23.5537190082645","17.1531207903008","16.6934189406095","15.7687253613666","11.7842073538277","14.3139678615574","40.6978563605071","36.3756613756614","37.6099803020354","35.4736575481257","40.4618040569703","30.3951367781155","25.3046288005605","26.4018408622985","26.9912523020258","37.5657013294856","22.7191199330385","26.4874592284332","32.4277990241326","44.0337601862631","37.8701155751239","26.7071452074526","33.1585510286071","36.0385914580538","37.3581030447133","44.311013083792","37.9205365131396","39.627997061377","39.3568895087468","46.1818625624688","43.1249121820992","46.2183288409704","36.8406920096669","39.7936174278618","41.668032115353","45.1826454478801","42.9416021771484","48.0533900200438","48.7057176595611","48.4217901791464","49.9960803258817","48.4071037845335","48.166828696484","43.0223020809176","39.1900434407542","59.7585721113871","43.4006843875107","40.1170481339954","37.3772480845461","",
"Senegal","SEN","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","TX.VAL.MRCH.RS.ZS","0","0","0","0","0","0","-1.08847050356813E-14","1.1219740079095E-14","-1.00276993229123E-14","0","0","0","0","0","0","0","0","0","7.68217909107192E-15","0","0","0","0.000493466503493743","2.79255168450929E-14","-1.16371315790415E-13","0.00145988133298042","2.42033697124701E-13","-1.02746629075466E-13","8.2270065863989E-14","-4.19464605734723E-14","-4.21733720294271E-15","-9.27504264464146E-14","0.00177886822986679","0.274803781740931","3.86038309445699E-15","0.00258060930741248","1.65181495496004E-13","9.91008231439606E-15","0.00134396420717025","0.00884212833533516","0","0","0","0","0","0","0","0.000429885915747107","0","0","0.00107725912483179","5.56189053088075E-15","0.00324802531163428","0","0","0","0","0.00590489130972405","0.00169475634801655","0.00816732962169794","0.00602155262814181","0.00397593319599462","0.00264452943234534","0.00685026418743296","",
"Senegal","SEN","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","","","","","1.25733445096396","","","0.00602355208866669","","","","0.130332052435528","0.00626415458006071","0.00844242529772741","0.758118497449771","0.00355250603926027","0.252237102876704","","","0.00746115159850132","0.00597825827032249","0.00944126588492985","0.0133235955943311","","0.0102757194801053","0.00170319488830796","0.0287177465519694","0.00185501588765054","0.0534674396937558","0.449933224763472","0.0541842368004617","0.666123981163696","0.515982330632321","0.746301612403599","0.242329197160322","0.376509340963439","1.46919545818182","0.361548711342264","0.672669512014193","0.0133395052147562","0.563157848653973","0.283731858128097","0.129059759791443","0.107610181396341","0.255798842465292","0.269572723020492","0.520455252600137","0.897719270873651","0.874348311587383","0.20617057823719","0.145062115495531","0.138723782482846","0.0789215897931537","0.291090263714478","0.267374553496579","0.387471182985813","0.576381980276311","1.29235489698098","0.731846604953849","0.299101017081113","0.914586395708878","1.50523963987574","0.507773110090958","0.732058271964401","",
"Senegal","SEN","Merchandise exports to high-income economies (% of total merchandise exports)","TX.VAL.MRCH.HI.ZS","92.1245421245421","92.3011120615911","94.3661971830986","96.1538461538462","93.4618608549874","93.9730372720063","97.0051132213295","95.355841339638","87.6850605652759","94.5561115082202","96.376881895875","70.652585199324","77.9954705343806","71.0356217582406","79.4735941660162","80.1318487241428","84.5742497948071","76.1917182675334","67.2450192168397","77.0041258151812","61.533494985437","50.9037651768349","68.3046464805969","78.7274850925186","65.8381095041356","59.7327959224277","61.8259452318851","62.5219587699957","64.8874171538072","64.1934754219255","60.4860126413369","65.158247958835","54.0798090978043","58.5074123116996","47.3206593817693","42.2499550064451","49.5611644803884","51.0137697462903","47.2921534519632","51.9048927645892","52.9725477747847","48.5758023794524","38.5625462898173","37.273635983375","36.2104616512534","33.420911887714","37.0776121130733","35.5094381270173","25.8760966533341","37.2477839557015","28.6993184934215","31.5041641946682","34.7415777758621","34.7693958369883","40.8554423918422","37.4308672517621","35.1545735696322","40.0483325671842","42.5241897964649","36.9063075200492","38.0757439767509","38.8205873432687","36.6682650671907","35.7964715086297","",
"Senegal","SEN","Manufactures exports (% of merchandise exports)","TX.VAL.MANF.ZS.UN","","","3.74502722030678","7.21028133286712","3.99432757750182","2.93446965002861","5.20630574600567","4.75397677631168","9.52608221662892","16.8961049729081","18.7794298346608","22.8348114582269","17.0785986782086","21.8754353811195","13.5614553404578","14.9537027072963","","11.439639731437","14.0817477070558","7.56487851210543","15.078827589031","19.6574442011629","","","","","25.5566409751196","25.1679712559203","","","","","","","","","48.4410254595125","46.2127248319879","52.8312798379711","56.8333870109658","27.0513351351263","29.1002290122081","51.4715367363449","35.8937459360835","38.8700480194997","44.8890661548182","43.2217756819588","36.1170542946477","38.8090943727474","38.2208487672783","37.6534025501549","39.8299127400229","39.1733148514147","29.4956631147571","28.9331543758564","28.7311111337326","32.0790756782877","29.0936020118516","27.6635402547323","24.1052847804106","25.8408792357938","26.936830828077","28.3600906720229","26.4233340385585","",
"Senegal","SEN","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","89.4383691780827","85.2994790252745","86.3433586202825","86.8529897865074","86.0430029181142","85.5844422897429","81.7034639820947","67.0914587792975","64.7579946919932","52.9915843259632","64.9566999410856","53.6589383050312","48.2159857034853","52.0421460821414","","64.3856255630433","48.7105330106332","59.9834511643615","43.0473641874136","26.6822230808814","","","","","41.1133251649971","45.2972382013004","","","","","","","","","9.49221392476106","6.21136621760642","15.3213868724246","13.4449851426158","52.3505486439934","46.1408755969728","16.1973344372711","37.147032669135","34.9981911526738","28.8223756559316","42.9604169871199","36.7930360758847","20.3887090053979","26.8806811280757","26.7565466945834","30.5408660817834","26.848014485569","34.031309302632","34.7706322137028","31.3599920534584","32.2195631770618","34.2316250812749","32.2926654145563","32.9188566987622","31.3463710309569","30.3261675172126","26.9817978270811","26.5981384645677","",
